road_id,road_category,bl_speed,typh_speed,dev,n_slots
4552,primary,0.516,0.931,0.41500000000000004,10
18237,trunk_link,0.2766653439153439,0.6772222222222222,0.40055687830687825,9
10290,primary,0.5724450549450549,0.9707692307692308,0.3983241758241759,13
3447,secondary_link,0.6031200396825397,1.0,0.3968799603174603,12
3001,secondary_link,0.6376296296296295,0.9706666666666667,0.33303703703703713,15
25376,secondary,0.47700000000000004,0.8075,0.33049999999999996,8
18087,secondary,0.41547222222222224,0.7416666666666667,0.32619444444444445,12
89655,tertiary,0.4049206349206349,0.73,0.3250793650793651,9
1966,secondary_link,0.24064087301587303,0.5589999999999999,0.31835912698412694,10
29667,trunk_link,0.6826458333333334,1.0,0.3173541666666666,8
12970,trunk_link,0.32876240079365077,0.6425000000000001,0.3137375992063493,8
869,primary_link,0.5225740740740741,0.8306666666666668,0.3080925925925927,15
31107,trunk_link,0.6955,1.0,0.3045,8
1665,tertiary,0.669074074074074,0.9722222222222222,0.30314814814814817,9
38918,secondary,0.4280059523809524,0.73,0.3019940476190476,9
18094,primary,0.39043871252204587,0.6888888888888889,0.298450176366843,9
9733,secondary,0.2765778388278388,0.5738461538461539,0.2972683150183151,13
12752,tertiary,0.3330717893217893,0.620909090909091,0.28783730158730164,11
12867,trunk,0.3497762345679012,0.6277777777777778,0.2780015432098766,9
2667,tertiary,0.4280785714285714,0.704,0.27592142857142854,10
