slot,bl,S3,n_S3,S10,n_S10,time,d_S3,d_S10,d_S10_S3
12,0.8345310416085475,0.9216309663536777,3408,0.9701694316978468,2833,06:00,0.08709992474513018,0.13563839008929923,0.04853846534416906
13,0.8138707043389036,0.8911318889175479,3877,0.9346719641401793,3272,06:30,0.07726118457864428,0.12080125980127565,0.04354007522263137
14,0.7783707922043931,0.8530920154348471,4492,0.8907391701461378,3832,07:00,0.07472122323045405,0.1123683779417447,0.037647154711290653
15,0.719433644826385,0.8162538003751859,5153,0.8430586797957694,4570,07:30,0.09682015554880086,0.12362503496938437,0.026804879420583516
16,0.7159895342582899,0.7924422089041097,5840,0.8294545364106645,5026,08:00,0.07645267464581973,0.11346500215237454,0.03701232750655481
17,0.7219556469455194,0.7832751886631646,6146,0.833310915587918,4944,08:30,0.0613195417176452,0.11135526864239864,0.05003572692475344
18,0.7327809535544381,0.7865038790797217,6230,0.8360555441688872,4879,09:00,0.05372292552528368,0.1032745906144491,0.04955166508916542
19,0.7401130201086147,0.7827147599451304,6075,0.8498477528912312,4554,09:30,0.04260173983651572,0.10973473278261647,0.06713299294610076
20,0.7451732842469176,0.7876229413702239,6072,0.8588767061982546,4469,10:00,0.042449657123306284,0.11370342195133698,0.0712537648280307
21,0.7464545318539447,0.7864065702230258,6083,0.8570204036371701,4509,10:30,0.03995203836908112,0.11056587178322541,0.07061383341414429
22,0.7446269917955955,0.7817731270358306,6140,0.8586138828633406,4610,11:00,0.03714613524023502,0.11398689106774507,0.07684075582751004
