variable,coef,se,OR,p,ci_95_low,ci_95_high,sig
const,-0.10217398116636167,0.053038975088735174,0.9028724552005281,0.05405515420591406,0.8137269818762046,1.0017839994444793,.
intersection_degree,0.12448998530353621,0.0578100143021764,1.1325706780518854,0.03128467423003081,1.01124511353117,1.2684524489851785,*
dist_to_coast_m,0.1324301313441831,0.0641017682470654,1.141599251297518,0.038834551559401694,1.0068137744279833,1.2944289039981487,*
work_density,-0.12233406664081904,0.0764743406137693,0.8848527193465447,0.10967077087013748,0.7616837968021409,1.0279388090204602,
education_density,-0.08080224491170619,0.06897235223193772,0.9223760779728213,0.24139125146056795,0.8057449262084551,1.0558895272477566,
retail_density,-0.1789958555681054,0.17267547653109863,0.8361093645881729,0.2999210804624677,0.5960445957876063,1.172863363735869,
food_drink_density,0.21082895815514247,0.1416299561277075,1.234701151436791,0.13659532601231397,0.9354142909962013,1.629745181395276,
recreation_density,0.0433109428703811,0.07027881397003839,1.0442625503681806,0.5377142866501177,0.9098863908262889,1.1984839921730919,
medical_density,0.01989991467292871,0.10926043581133775,1.0200992379515057,0.8554784685307786,0.8234515712631917,1.2637081421472511,
transport_density,0.13316523704204677,0.09162502530079054,1.1424387559363411,0.14612052426488478,0.9546411077393469,1.3671800852532892,
tourism_density,0.034981781810502835,0.12927427925026572,1.0356008418553826,0.7866977328221043,0.8038072273576055,1.3342367014752492,
finance_density,-0.1397117126093612,0.10323677873300105,0.8696088965455072,0.17595554068983366,0.710308569148059,1.0646353793226813,
civic_density,-0.10047219749093993,0.06899110242827246,0.9044102569375909,0.1453078831104802,0.7900217847642246,1.0353612123468618,
log_population_density_500m,-0.11040241672614917,0.07612788437625824,0.8954737091822419,0.14699631444902955,0.7713499864401092,1.0395711128969638,
log_median_income_500m,-0.00808404809733473,0.12398711725735055,0.9919485399459228,0.9480141956986248,0.7779455083626032,1.2648211157769418,
working_pop_ratio_500m,-0.11436737662963481,0.14227428802728614,0.8919302213664984,0.4214828371884817,0.674876895915888,1.178792050226063,
ratio_age_0_14_500m,-0.08203277795548898,0.11797702522009278,0.9212417617799925,0.4868495107570082,0.7310541485244674,1.1609076911203662,
ratio_age_65plus_500m,-0.037867726751429735,0.13096995828010607,0.9628402904816181,0.772479660748175,0.7448526652092345,1.2446238944641603,
log_incident_count_500m,0.028387042497215752,0.058670505680451596,1.028793794292999,0.6285005736774637,0.9170372842257466,1.1541697261190482,
road_highway,0.10121398198929554,0.05624343909243334,1.1065133903690048,0.07192862822598732,0.991017427899336,1.2354695776251037,.
road_local,-0.06143870771306203,0.055476828656150966,0.9404105838883708,0.26809245618873956,0.8435186290018973,1.0484321695843393,
