variable,coef,se,t,p
const,0.04035428571428573,0.004727009126639382,8.536959551625658,2.989756769587127e-17
intersection_degree,0.01120803065273616,0.005006768694299005,2.2385756836536643,0.025311531695850417
dist_to_coast_m,0.004844464450842276,0.005142593793193452,0.9420274370599193,0.3463114220067671
log_incident_count_500m,-0.001272591864226269,0.004812820672160642,-0.26441705413780947,0.7914903804657484
road_highway,0.02695067819321665,0.005128064178081698,5.255526697268897,1.6609453373697677e-07
road_local,-0.01599760777078102,0.004974843379271942,-3.2157007871717638,0.0013255256258258923
education_density,-0.003176789928554429,0.005203635310327518,-0.6104943446458551,0.5416153737685983
work_density,-0.011273462707968824,0.005215226788176415,-2.161643810682827,0.030783765414224888
ratio_学生_500m,0.0054806060575710355,0.0057021053132093515,0.9611548290549463,0.3366099728705767
ratio_雇员_500m,0.010315954669705318,0.006814645907250453,1.5137917376939045,0.13026314304520453
log_population_density_500m,0.0019372533855225877,0.005488847553279248,0.35294355813638845,0.7241741787862546
median_income_500m,-4.7227033997540406e-05,0.007593597770156744,-0.006219322569750171,0.9950384547062789
